PID,CID,BID,Country,Image,English Title,English Body,Target Gender,Age min,Age max,Target city
2,402,113,BR,br_revised_female_08.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,114,BR,br_revised_female_09.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,115,BR,br_revised_female_10.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,116,BR,br_revised_female_11.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,117,BR,br_revised_female_12.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,118,BR,br_revised_female_13.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,119,BR,br_revised_female_14.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,120,BR,br_revised_female_15.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,121,BR,br_revised_female_16.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,122,BR,br_revised_female_17.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,123,BR,br_revised_female_18.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,124,BR,br_revised_female_19.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,125,BR,br_revised_female_20.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,126,BR,br_revised_female_21.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,403,106,BR,br_revised_female_01.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
