@relation pl-tagged-with_images-weka.filters.unsupervised.attribute.RemoveUseless-M100.0

@attribute 'Image Hash' {116698595132761:40b2e1869c404365471afdb2effedc12,116698595132761:8c33b139c3720a7045767311af33e705,116698595132761:de36e80732d3e2190003bda99acb73f4,116698595132761:6f75c3b93f13c42225954a820dcfe49d,116698595132761:83a32dc15ebdb84c61c2328b558865b2,116698595132761:56105dbc02aa3b2d418a8fcd834bc532,116698595132761:9e2e8b1ab7de3f5aa3778a1110b0a700,116698595132761:6f4674dcfff6b02531bd008e595f2eb8,116698595132761:67c7450182c3ce5db986a4b6d3805c0e,116698595132761:6b36ad4cf683af9dd388bd67b31f30cc,116698595132761:eacd0f1fc32e39e792f4f523f4888e34}
@attribute Gender {Women,Men}
@attribute Age {0,1,2,3,4}
@attribute Clicks numeric
@attribute Impressions numeric
@attribute body-albo numeric
@attribute title-ciekawą numeric
@attribute body-dołącz numeric
@attribute body-dziś numeric
@attribute title-lubi numeric
@attribute title-ludzi numeric
@attribute title-miasta numeric
@attribute body-miejsce numeric
@attribute body-niusy numeric
@attribute body-okolicy numeric
@attribute body-osób numeric
@attribute title-osób numeric
@attribute body-pogadać numeric
@attribute title-poznać numeric
@attribute body-rozrywka numeric
@attribute body-socializing numeric
@attribute body-spotkać numeric
@attribute body-super numeric
@attribute body-surfuj numeric
@attribute title-szuka numeric
@attribute body-teraz numeric
@attribute body-topie numeric
@attribute title-towarzyskie numeric
@attribute body-twoich numeric
@attribute body-zaznaj numeric
@attribute body-zechcesz numeric
@attribute body-znajomi numeric
@attribute body-zwlekaj numeric
@attribute title-życie numeric
@attribute title-żywo numeric

@data
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Men,2,4,22475,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:eacd0f1fc32e39e792f4f523f4888e34,Men,2,21,101016,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:56105dbc02aa3b2d418a8fcd834bc532,Men,2,2,14564,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Men,2,3,17715,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:9e2e8b1ab7de3f5aa3778a1110b0a700,Men,2,10,58450,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:6f4674dcfff6b02531bd008e595f2eb8,Men,2,0,4464,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:9e2e8b1ab7de3f5aa3778a1110b0a700,Men,2,26,105740,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Men,2,2,16775,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:56105dbc02aa3b2d418a8fcd834bc532,Men,2,0,4359,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:6f4674dcfff6b02531bd008e595f2eb8,Men,2,139,589272,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:6b36ad4cf683af9dd388bd67b31f30cc,Men,1,0,8724,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:67c7450182c3ce5db986a4b6d3805c0e,Men,1,48,239573,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:eacd0f1fc32e39e792f4f523f4888e34,Men,1,1,9284,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:67c7450182c3ce5db986a4b6d3805c0e,Men,1,6,35159,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Men,1,0,5511,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Men,1,5,30095,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:6b36ad4cf683af9dd388bd67b31f30cc,Men,1,31,154933,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:eacd0f1fc32e39e792f4f523f4888e34,Men,1,3,21298,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:6f4674dcfff6b02531bd008e595f2eb8,Men,1,0,5494,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:56105dbc02aa3b2d418a8fcd834bc532,Men,1,9,63808,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:83a32dc15ebdb84c61c2328b558865b2,Men,1,14,79647,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:9e2e8b1ab7de3f5aa3778a1110b0a700,Men,1,2,14927,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
116698595132761:56105dbc02aa3b2d418a8fcd834bc532,Men,1,2,16428,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:6f4674dcfff6b02531bd008e595f2eb8,Men,1,248,1158866,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:9e2e8b1ab7de3f5aa3778a1110b0a700,Men,1,16,90154,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
116698595132761:6f75c3b93f13c42225954a820dcfe49d,Men,1,1,11321,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
